Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-07 14:32:51,E3,Empty,a2:67:20:dc:10:b8,DIRECT-RC-QLSA8Zdzpo,-87.0
2025-03-07 14:32:51,E3,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-86.0
2025-03-07 14:32:51,E3,Empty,86:25:19:30:6e:79,DIRECT-euM2070 Series,-88.0
2025-03-07 14:32:51,E3,Empty,c0:49:43:9f:c9:22,TIM-18999261,-82.0
2025-03-07 14:32:51,E3,Empty,04:a1:51:c1:c8:56,BatWlan,-78.0
2025-03-07 14:32:51,E3,Empty,00:1e:42:3c:4c:90,RUT955_A7FD,-80.0
2025-03-07 14:32:51,E3,Empty,84:d4:7e:36:4c:81,WISPER,-74.0
2025-03-07 14:32:51,E3,Empty,84:d4:7e:36:4c:82,wifi.italia.it,-73.0
2025-03-07 14:32:51,E3,Empty,00:81:c4:93:d3:4f,eduroam,-77.0
2025-03-07 14:32:51,E3,Empty,00:a6:ca:56:76:ff,eduroam,-46.0
2025-03-07 14:32:51,E3,Empty,00:a6:ca:10:c8:0f,eduroam,-69.0
2025-03-07 14:32:51,E3,Empty,60:b9:c0:9c:49:0f,EmiliaRomagnaWiFi wifiprivacy.it,-93.0
2025-03-07 14:32:51,E3,Empty,60:b9:c0:9c:49:0e,eduroam,-94.0
2025-03-07 14:32:51,E3,Empty,a0:67:20:dc:11:82,Sala_Renoir,-85.0
2025-03-07 14:32:51,E3,Empty,a0:67:20:dc:10:b8,Sala_Monet,-88.0
2025-03-07 14:32:51,E3,Empty,b8:11:4b:07:8f:01,ALMAWIFI,-73.0
2025-03-07 14:32:51,E3,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-70.0
2025-03-07 14:32:51,E3,Empty,8c:1e:80:46:19:41,ALMAWIFI,-65.0
2025-03-07 14:32:51,E3,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-68.0
2025-03-07 14:32:51,E3,Empty,84:d4:7e:36:4c:80,EmiliaRomagnaWiFi wifiprivacy.it,-74.0
2025-03-07 14:32:51,E3,Empty,8c:1e:80:46:19:4f,eduroam,-76.0
2025-03-07 14:32:54,E3,Empty,00:81:c4:93:d3:40,eduroam,-64.0
2025-03-07 14:32:54,E3,Empty,00:81:c4:93:d3:41,ALMAWIFI,-67.0
2025-03-07 14:32:54,E3,Empty,00:81:c4:93:d3:4e,ALMAWIFI,-76.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-58.0
2025-03-07 14:32:54,E3,Empty,f4:ec:38:ca:e6:04,SSTI,-75.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-51.0
2025-03-07 14:32:54,E3,Empty,8c:1e:80:46:19:4e,ALMAWIFI,-73.0
2025-03-07 14:32:54,E3,Empty,b0:aa:77:a8:42:50,eduroam,-75.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:56:76:f0,eduroam,-48.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:5f:8d:20,eduroam,-72.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-71.0
2025-03-07 14:32:54,E3,Empty,30:91:8f:53:53:2a,Telecom-57119018,-89.0
2025-03-07 14:32:54,E3,Empty,84:d4:7e:36:4c:91,WISPER,-89.0
2025-03-07 14:32:54,E3,Empty,84:d4:7e:36:4c:90,EmiliaRomagnaWiFi wifiprivacy.it,-88.0
2025-03-07 14:32:54,E3,Empty,84:d4:7e:36:4c:92,wifi.italia.it,-89.0
2025-03-07 14:32:54,E3,Empty,9a:e0:2e:4f:9a:c8,Redmi Note 12 Pro 5G,-79.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-68.0
2025-03-07 14:32:54,E3,Empty,60:b9:c0:9c:49:02,ALMAWIFI,-76.0
2025-03-07 14:32:54,E3,Empty,60:b9:c0:9c:49:01,eduroam,-76.0
2025-03-07 14:32:54,E3,Empty,b8:11:4b:07:8f:0e,ALMAWIFI,-90.0
2025-03-07 14:32:54,E3,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-92.0
2025-03-07 14:32:54,E3,Empty,60:b9:c0:9c:49:00,EmiliaRomagnaWiFi wifiprivacy.it,-77.0
2025-03-07 14:32:54,E3,Empty,8c:1e:80:46:19:40,eduroam,-64.0
2025-03-07 14:32:54,E3,Empty,a2:67:20:dc:11:82,DIRECT-Nu-XCIWAjtlws,-88.0
2025-03-07 14:32:54,E3,Empty,a2:67:20:dc:10:b8,DIRECT-RC-QLSA8Zdzpo,-89.0
2025-03-07 14:32:54,E3,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-87.0
2025-03-07 14:32:54,E3,Empty,86:25:19:30:6e:79,DIRECT-euM2070 Series,-85.0
2025-03-07 14:32:54,E3,Empty,c0:49:43:9f:c9:22,TIM-18999261,-82.0
2025-03-07 14:32:54,E3,Empty,04:a1:51:c1:c8:56,BatWlan,-78.0
2025-03-07 14:32:54,E3,Empty,00:1e:42:3c:4c:90,RUT955_A7FD,-80.0
2025-03-07 14:32:54,E3,Empty,84:d4:7e:36:4c:81,WISPER,-66.0
2025-03-07 14:32:54,E3,Empty,84:d4:7e:36:4c:82,wifi.italia.it,-67.0
2025-03-07 14:32:54,E3,Empty,00:81:c4:93:d3:4f,eduroam,-76.0
2025-03-07 14:32:54,E3,Empty,00:a6:ca:56:76:ff,eduroam,-58.0
