Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-10 14:04:24,E1,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-52.0
2025-03-10 14:04:24,E1,Crowded,dc:f7:19:09:08:01,ALMAWIFI,-80.0
2025-03-10 14:04:24,E1,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-79.0
2025-03-10 14:04:24,E1,Crowded,38:91:b7:3d:b9:21,ALMAWIFI,-74.0
2025-03-10 14:04:24,E1,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-84.0
2025-03-10 14:04:24,E1,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-57.0
2025-03-10 14:04:24,E1,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-92.0
2025-03-10 14:04:24,E1,Crowded,dc:f7:19:09:08:0e,ALMAWIFI,-91.0
2025-03-10 14:04:24,E1,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-92.0
2025-03-10 14:04:24,E1,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-58.0
2025-03-10 14:04:24,E1,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-76.0
2025-03-10 14:04:24,E1,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-86.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-61.0
2025-03-10 14:04:26,E1,Crowded,dc:f7:19:09:08:01,ALMAWIFI,-80.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-77.0
2025-03-10 14:04:26,E1,Crowded,38:91:b7:3d:b9:21,ALMAWIFI,-68.0
2025-03-10 14:04:26,E1,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-84.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-58.0
2025-03-10 14:04:26,E1,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-85.0
2025-03-10 14:04:26,E1,Crowded,dc:f7:19:09:08:0e,ALMAWIFI,-92.0
2025-03-10 14:04:26,E1,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-91.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-63.0
2025-03-10 14:04:26,E1,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-71.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-80.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-48.0
2025-03-10 14:04:26,E1,Crowded,00:a6:ca:10:c7:41,ALMAWIFI,-89.0
2025-03-10 14:04:26,E1,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-96.0
2025-03-10 14:04:26,E1,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-87.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-65.0
2025-03-10 14:04:29,E1,Crowded,dc:f7:19:09:08:01,ALMAWIFI,-77.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-71.0
2025-03-10 14:04:29,E1,Crowded,38:91:b7:3d:b9:21,ALMAWIFI,-65.0
2025-03-10 14:04:29,E1,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-84.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-61.0
2025-03-10 14:04:29,E1,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-86.0
2025-03-10 14:04:29,E1,Crowded,dc:f7:19:09:08:0e,ALMAWIFI,-94.0
2025-03-10 14:04:29,E1,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-94.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-49.0
2025-03-10 14:04:29,E1,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-71.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-81.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-46.0
2025-03-10 14:04:29,E1,Crowded,00:a6:ca:10:c7:41,ALMAWIFI,-89.0
2025-03-10 14:04:29,E1,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-96.0
2025-03-10 14:04:29,E1,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-89.0
2025-03-10 14:04:29,E1,Crowded,b8:11:4b:07:8f:01,ALMAWIFI,-80.0
2025-03-10 14:04:29,E1,Crowded,2c:31:24:c0:bc:01,ALMAWIFI,-87.0
2025-03-10 14:04:29,E1,Crowded,2c:31:24:c0:bc:0e,ALMAWIFI,-94.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-53.0
2025-03-10 14:04:32,E1,Crowded,dc:f7:19:09:08:01,ALMAWIFI,-77.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-71.0
2025-03-10 14:04:32,E1,Crowded,38:91:b7:3d:b9:21,ALMAWIFI,-58.0
2025-03-10 14:04:32,E1,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-75.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-51.0
2025-03-10 14:04:32,E1,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-87.0
2025-03-10 14:04:32,E1,Crowded,dc:f7:19:09:08:0e,ALMAWIFI,-91.0
2025-03-10 14:04:32,E1,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-90.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-56.0
2025-03-10 14:04:32,E1,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-71.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-85.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-48.0
2025-03-10 14:04:32,E1,Crowded,00:a6:ca:10:c7:41,ALMAWIFI,-89.0
2025-03-10 14:04:32,E1,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-96.0
2025-03-10 14:04:32,E1,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-89.0
2025-03-10 14:04:32,E1,Crowded,b8:11:4b:07:8f:01,ALMAWIFI,-74.0
2025-03-10 14:04:32,E1,Crowded,2c:31:24:c0:bc:01,ALMAWIFI,-87.0
2025-03-10 14:04:32,E1,Crowded,2c:31:24:c0:bc:0e,ALMAWIFI,-87.0
2025-03-10 14:04:32,E1,Crowded,60:b9:c0:9c:49:02,ALMAWIFI,-85.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-60.0
2025-03-10 14:04:37,E1,Crowded,dc:f7:19:09:08:01,ALMAWIFI,-79.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-71.0
2025-03-10 14:04:37,E1,Crowded,38:91:b7:3d:b9:21,ALMAWIFI,-70.0
2025-03-10 14:04:37,E1,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-75.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-55.0
2025-03-10 14:04:37,E1,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-88.0
2025-03-10 14:04:37,E1,Crowded,dc:f7:19:09:08:0e,ALMAWIFI,-96.0
2025-03-10 14:04:37,E1,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-90.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-48.0
2025-03-10 14:04:37,E1,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-71.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-78.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-50.0
2025-03-10 14:04:37,E1,Crowded,00:a6:ca:10:c7:41,ALMAWIFI,-89.0
2025-03-10 14:04:37,E1,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-96.0
2025-03-10 14:04:37,E1,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-89.0
2025-03-10 14:04:37,E1,Crowded,b8:11:4b:07:8f:01,ALMAWIFI,-79.0
2025-03-10 14:04:37,E1,Crowded,2c:31:24:c0:bc:01,ALMAWIFI,-81.0
2025-03-10 14:04:37,E1,Crowded,2c:31:24:c0:bc:0e,ALMAWIFI,-87.0
2025-03-10 14:04:37,E1,Crowded,60:b9:c0:9c:49:02,ALMAWIFI,-85.0
2025-03-10 14:04:40,E1,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-56.0
