Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-07 14:47:01,Garden,Empty,6a:35:8a:1b:4d:a3,S21 di romeo\x20,-92.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:56:76:f0,eduroam,-90.0
2025-03-07 14:47:01,Garden,Empty,bc:15:ac:48:26:69,Vodafone-34634481,-85.0
2025-03-07 14:47:01,Garden,Empty,be:4e:46:74:45:28,iPhone 16 Pro Alice,-90.0
2025-03-07 14:47:01,Garden,Empty,dc:00:b0:b8:1b:60,iliadbox-60397B,-84.0
2025-03-07 14:47:01,Garden,Empty,1a:cd:e1:1c:b5:18,Galaxy A13 8AC4,-86.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:56:6a:10,eduroam,-73.0
2025-03-07 14:47:01,Garden,Empty,dc:f7:19:45:33:80,eduroam,-86.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:5f:8d:2f,eduroam,-96.0
2025-03-07 14:47:01,Garden,Empty,dc:f7:19:09:08:0f,eduroam,-92.0
2025-03-07 14:47:01,Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
2025-03-07 14:47:01,Garden,Empty,c2:02:db:cb:cd:b1,TIM-90879136,-91.0
2025-03-07 14:47:01,Garden,Empty,c2:02:db:cb:cd:b4,Ospiti-TIM-90879136,-91.0
2025-03-07 14:47:01,Garden,Empty,dc:f7:19:45:33:8f,eduroam,-91.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:56:6a:1f,eduroam,-89.0
2025-03-07 14:47:01,Garden,Empty,d4:60:e3:e9:ee:8b,TIM-77410860,-84.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:10:c8:00,eduroam,-86.0
2025-03-07 14:47:01,Garden,Empty,dc:f7:19:09:08:01,ALMAWIFI,-81.0
2025-03-07 14:47:01,Garden,Empty,9a:e0:2e:4f:9a:c8,Redmi Note 12 Pro 5G,-88.0
2025-03-07 14:47:01,Garden,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-89.0
2025-03-07 14:47:01,Garden,Empty,24:2f:d0:44:7f:6c,TP-Link_7F6B_5G,-95.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:10:c7:4f,eduroam,-90.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:10:c7:4e,ALMAWIFI,-89.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:56:76:ff,eduroam,-93.0
2025-03-07 14:47:01,Garden,Empty,00:a6:ca:56:6a:1e,ALMAWIFI,-89.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-93.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-92.0
2025-03-07 14:47:04,Garden,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-80.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-84.0
2025-03-07 14:47:04,Garden,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-80.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-92.0
2025-03-07 14:47:04,Garden,Empty,38:91:b7:3d:b9:20,eduroam,-79.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:5f:8d:20,eduroam,-86.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:10:c7:40,eduroam,-70.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:09:08:00,eduroam,-85.0
2025-03-07 14:47:04,Garden,Empty,fa:25:51:66:0a:a6,DIRECT-1Gp0tEB28CC07GOfD,-83.0
2025-03-07 14:47:04,Garden,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-83.0
2025-03-07 14:47:04,Garden,Empty,68:d4:82:87:7b:99,ALHN-4FB0,-87.0
2025-03-07 14:47:04,Garden,Empty,24:2f:d0:44:7f:6b,TP-Link_7F6B,-80.0
2025-03-07 14:47:04,Garden,Empty,20:b0:01:9f:a2:59,TIM-27239001,-96.0
2025-03-07 14:47:04,Garden,Empty,c6:02:db:cb:cd:b2,TIM-90879136,-88.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:10:c7:41,ALMAWIFI,-72.0
2025-03-07 14:47:04,Garden,Empty,34:64:a9:8a:ef:78,HP-Print-78-ENVY 4500 series\x20,-93.0
2025-03-07 14:47:04,Garden,Empty,3c:9e:c7:16:99:b4,SKYWIFI_FRA,-92.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:09:08:0e,ALMAWIFI,-87.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:45:33:8e,ALMAWIFI,-91.0
2025-03-07 14:47:04,Garden,Empty,60:b9:c0:9c:49:0f,EmiliaRomagnaWiFi wifiprivacy.it,-90.0
2025-03-07 14:47:04,Garden,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-90.0
2025-03-07 14:47:04,Garden,Empty,6a:35:8a:1b:4d:a3,S21 di romeo\x20,-92.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:76:f0,eduroam,-90.0
2025-03-07 14:47:04,Garden,Empty,bc:15:ac:48:26:69,Vodafone-34634481,-85.0
2025-03-07 14:47:04,Garden,Empty,be:4e:46:74:45:28,iPhone 16 Pro Alice,-90.0
2025-03-07 14:47:04,Garden,Empty,dc:00:b0:b8:1b:60,iliadbox-60397B,-84.0
2025-03-07 14:47:04,Garden,Empty,1a:cd:e1:1c:b5:18,Galaxy A13 8AC4,-86.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:6a:10,eduroam,-73.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:45:33:80,eduroam,-80.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:5f:8d:2f,eduroam,-96.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:09:08:0f,eduroam,-87.0
2025-03-07 14:47:04,Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
2025-03-07 14:47:04,Garden,Empty,c2:02:db:cb:cd:b1,TIM-90879136,-91.0
2025-03-07 14:47:04,Garden,Empty,c2:02:db:cb:cd:b4,Ospiti-TIM-90879136,-91.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:45:33:8f,eduroam,-92.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:6a:1f,eduroam,-89.0
2025-03-07 14:47:04,Garden,Empty,d4:60:e3:e9:ee:8b,TIM-77410860,-87.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:10:c8:00,eduroam,-86.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:09:08:01,ALMAWIFI,-81.0
2025-03-07 14:47:04,Garden,Empty,9a:e0:2e:4f:9a:c8,Redmi Note 12 Pro 5G,-88.0
2025-03-07 14:47:04,Garden,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-89.0
2025-03-07 14:47:04,Garden,Empty,24:2f:d0:44:7f:6c,TP-Link_7F6B_5G,-95.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:10:c7:4f,eduroam,-93.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:10:c7:4e,ALMAWIFI,-89.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:76:ff,eduroam,-93.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:6a:1e,ALMAWIFI,-89.0
2025-03-07 14:47:04,Garden,Empty,02:22:6c:03:4e:3a,SoundBarSetup_4E3A,-86.0
2025-03-07 14:47:04,Garden,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-86.0
2025-03-07 14:47:04,Garden,Empty,dc:f7:19:45:33:81,ALMAWIFI,-81.0
2025-03-07 14:47:04,Garden,Empty,9c:31:c3:cb:7e:a4,SKYWIFI_FGYW9,-83.0
2025-03-07 14:47:04,Garden,Empty,38:91:b7:3d:b9:2f,eduroam,-93.0
2025-03-07 14:47:04,Garden,Empty,60:b9:c0:9c:49:0e,eduroam,-92.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-91.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-92.0
2025-03-07 14:47:07,Garden,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-78.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-81.0
2025-03-07 14:47:07,Garden,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-84.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-95.0
2025-03-07 14:47:07,Garden,Empty,38:91:b7:3d:b9:20,eduroam,-79.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:5f:8d:20,eduroam,-81.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:10:c7:40,eduroam,-78.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:09:08:00,eduroam,-84.0
2025-03-07 14:47:07,Garden,Empty,fa:25:51:66:0a:a6,DIRECT-1Gp0tEB28CC07GOfD,-86.0
2025-03-07 14:47:07,Garden,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-83.0
2025-03-07 14:47:07,Garden,Empty,68:d4:82:87:7b:99,ALHN-4FB0,-88.0
2025-03-07 14:47:07,Garden,Empty,24:2f:d0:44:7f:6b,TP-Link_7F6B,-74.0
2025-03-07 14:47:07,Garden,Empty,20:b0:01:9f:a2:59,TIM-27239001,-96.0
2025-03-07 14:47:07,Garden,Empty,c6:02:db:cb:cd:b2,TIM-90879136,-88.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:10:c7:41,ALMAWIFI,-77.0
2025-03-07 14:47:07,Garden,Empty,34:64:a9:8a:ef:78,HP-Print-78-ENVY 4500 series\x20,-93.0
2025-03-07 14:47:07,Garden,Empty,3c:9e:c7:16:99:b4,SKYWIFI_FRA,-92.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:09:08:0e,ALMAWIFI,-92.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:45:33:8e,ALMAWIFI,-90.0
2025-03-07 14:47:07,Garden,Empty,60:b9:c0:9c:49:0f,EmiliaRomagnaWiFi wifiprivacy.it,-89.0
2025-03-07 14:47:07,Garden,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-88.0
2025-03-07 14:47:07,Garden,Empty,6a:35:8a:1b:4d:a3,S21 di romeo\x20,-93.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:76:f0,eduroam,-90.0
2025-03-07 14:47:07,Garden,Empty,bc:15:ac:48:26:69,Vodafone-34634481,-85.0
2025-03-07 14:47:07,Garden,Empty,be:4e:46:74:45:28,iPhone 16 Pro Alice,-90.0
2025-03-07 14:47:07,Garden,Empty,dc:00:b0:b8:1b:60,iliadbox-60397B,-84.0
2025-03-07 14:47:07,Garden,Empty,1a:cd:e1:1c:b5:18,Galaxy A13 8AC4,-79.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:6a:10,eduroam,-73.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:45:33:80,eduroam,-80.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:5f:8d:2f,eduroam,-96.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:09:08:0f,eduroam,-92.0
2025-03-07 14:47:07,Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
2025-03-07 14:47:07,Garden,Empty,c2:02:db:cb:cd:b1,TIM-90879136,-91.0
2025-03-07 14:47:07,Garden,Empty,c2:02:db:cb:cd:b4,Ospiti-TIM-90879136,-91.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:45:33:8f,eduroam,-89.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:6a:1f,eduroam,-89.0
2025-03-07 14:47:07,Garden,Empty,d4:60:e3:e9:ee:8b,TIM-77410860,-92.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:10:c8:00,eduroam,-86.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:09:08:01,ALMAWIFI,-81.0
2025-03-07 14:47:07,Garden,Empty,9a:e0:2e:4f:9a:c8,Redmi Note 12 Pro 5G,-88.0
2025-03-07 14:47:07,Garden,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-89.0
2025-03-07 14:47:07,Garden,Empty,24:2f:d0:44:7f:6c,TP-Link_7F6B_5G,-95.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:10:c7:4f,eduroam,-93.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:10:c7:4e,ALMAWIFI,-89.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:76:ff,eduroam,-91.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:6a:1e,ALMAWIFI,-89.0
2025-03-07 14:47:07,Garden,Empty,02:22:6c:03:4e:3a,SoundBarSetup_4E3A,-86.0
2025-03-07 14:47:07,Garden,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-86.0
2025-03-07 14:47:07,Garden,Empty,dc:f7:19:45:33:81,ALMAWIFI,-81.0
2025-03-07 14:47:07,Garden,Empty,9c:31:c3:cb:7e:a4,SKYWIFI_FGYW9,-85.0
2025-03-07 14:47:07,Garden,Empty,38:91:b7:3d:b9:2f,eduroam,-93.0
2025-03-07 14:47:07,Garden,Empty,60:b9:c0:9c:49:0e,eduroam,-89.0
2025-03-07 14:47:07,Garden,Empty,86:25:19:30:6e:79,DIRECT-euM2070 Series,-89.0
2025-03-07 14:47:07,Garden,Empty,00:81:c4:93:d3:41,ALMAWIFI,-86.0
2025-03-07 14:47:07,Garden,Empty,0a:c0:8a:15:99:0c,RedMMo,-90.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-91.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-92.0
2025-03-07 14:47:12,Garden,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-71.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-76.0
2025-03-07 14:47:12,Garden,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-81.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-95.0
2025-03-07 14:47:12,Garden,Empty,38:91:b7:3d:b9:20,eduroam,-80.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:5f:8d:20,eduroam,-75.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:10:c7:40,eduroam,-72.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:09:08:00,eduroam,-84.0
2025-03-07 14:47:12,Garden,Empty,fa:25:51:66:0a:a6,DIRECT-1Gp0tEB28CC07GOfD,-80.0
2025-03-07 14:47:12,Garden,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-83.0
2025-03-07 14:47:12,Garden,Empty,68:d4:82:87:7b:99,ALHN-4FB0,-88.0
2025-03-07 14:47:12,Garden,Empty,24:2f:d0:44:7f:6b,TP-Link_7F6B,-74.0
2025-03-07 14:47:12,Garden,Empty,20:b0:01:9f:a2:59,TIM-27239001,-96.0
2025-03-07 14:47:12,Garden,Empty,c6:02:db:cb:cd:b2,TIM-90879136,-88.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:10:c7:41,ALMAWIFI,-73.0
2025-03-07 14:47:12,Garden,Empty,34:64:a9:8a:ef:78,HP-Print-78-ENVY 4500 series\x20,-93.0
2025-03-07 14:47:12,Garden,Empty,3c:9e:c7:16:99:b4,SKYWIFI_FRA,-92.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:09:08:0e,ALMAWIFI,-92.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:45:33:8e,ALMAWIFI,-93.0
2025-03-07 14:47:12,Garden,Empty,60:b9:c0:9c:49:0f,EmiliaRomagnaWiFi wifiprivacy.it,-94.0
2025-03-07 14:47:12,Garden,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-95.0
2025-03-07 14:47:12,Garden,Empty,6a:35:8a:1b:4d:a3,S21 di romeo\x20,-93.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:56:76:f0,eduroam,-90.0
2025-03-07 14:47:12,Garden,Empty,bc:15:ac:48:26:69,Vodafone-34634481,-88.0
2025-03-07 14:47:12,Garden,Empty,be:4e:46:74:45:28,iPhone 16 Pro Alice,-90.0
2025-03-07 14:47:12,Garden,Empty,dc:00:b0:b8:1b:60,iliadbox-60397B,-84.0
2025-03-07 14:47:12,Garden,Empty,1a:cd:e1:1c:b5:18,Galaxy A13 8AC4,-77.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:56:6a:10,eduroam,-74.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:45:33:80,eduroam,-80.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:5f:8d:2f,eduroam,-96.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:09:08:0f,eduroam,-90.0
2025-03-07 14:47:12,Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
2025-03-07 14:47:12,Garden,Empty,c2:02:db:cb:cd:b1,TIM-90879136,-91.0
2025-03-07 14:47:12,Garden,Empty,c2:02:db:cb:cd:b4,Ospiti-TIM-90879136,-91.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:45:33:8f,eduroam,-93.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:56:6a:1f,eduroam,-89.0
2025-03-07 14:47:12,Garden,Empty,d4:60:e3:e9:ee:8b,TIM-77410860,-92.0
2025-03-07 14:47:12,Garden,Empty,00:a6:ca:10:c8:00,eduroam,-83.0
2025-03-07 14:47:12,Garden,Empty,dc:f7:19:09:08:01,ALMAWIFI,-81.0
2025-03-07 14:47:12,Garden,Empty,9a:e0:2e:4f:9a:c8,Redmi Note 12 Pro 5G,-88.0
2025-03-07 14:47:12,Garden,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-89.0
