Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-82.0
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-78.0
2025-03-07 14:37:19,Corridoio,Empty,60:b9:c0:9c:49:01,eduroam,-86.0
2025-03-07 14:37:19,Corridoio,Empty,60:b9:c0:9c:49:00,EmiliaRomagnaWiFi wifiprivacy.it,-87.0
2025-03-07 14:37:19,Corridoio,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-80.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:46:19:41,ALMAWIFI,-79.0
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-80.0
2025-03-07 14:37:19,Corridoio,Empty,84:d4:7e:36:4c:80,EmiliaRomagnaWiFi wifiprivacy.it,-96.0
2025-03-07 14:37:19,Corridoio,Empty,b0:aa:77:a8:42:51,ALMAWIFI,-71.0
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:10:c8:00,eduroam,-80.0
2025-03-07 14:37:19,Corridoio,Empty,b0:aa:77:a8:42:52,AULEUNIBO,-65.0
2025-03-07 14:37:19,Corridoio,Empty,60:b9:c0:9c:49:02,ALMAWIFI,-90.0
2025-03-07 14:37:19,Corridoio,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-83.0
2025-03-07 14:37:19,Corridoio,Empty,2c:31:24:c0:bc:01,ALMAWIFI,-86.0
2025-03-07 14:37:19,Corridoio,Empty,2c:31:24:c0:bc:00,eduroam,-75.0
2025-03-07 14:37:19,Corridoio,Empty,d8:ec:e5:e3:ef:09,Wind3 HUB-E3EF09,-92.0
2025-03-07 14:37:19,Corridoio,Empty,c2:6f:88:cd:75:71,TIM-64579434,-94.0
2025-03-07 14:37:19,Corridoio,Empty,02:71:47:cf:a2:70,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-79.0
2025-03-07 14:37:19,Corridoio,Empty,38:91:b7:3d:b9:20,eduroam,-85.0
2025-03-07 14:37:19,Corridoio,Empty,84:d1:5a:28:7d:bc,Modem 4G Wi-Fi_7DBC,-91.0
2025-03-07 14:37:19,Corridoio,Empty,5e:07:9c:0f:20:5f,OPPO A74 5G,-75.0
2025-03-07 14:37:19,Corridoio,Empty,a8:63:7d:3e:e8:88,D-Link-3EE887,-86.0
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:5f:8d:20,eduroam,-81.0
2025-03-07 14:37:19,Corridoio,Empty,20:b0:01:2f:4b:07,TIM-19876615,-90.0
2025-03-07 14:37:19,Corridoio,Empty,8a:83:73:2b:08:a8,Galaxy A33 5G FBBC,-86.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:46:19:40,eduroam,-80.0
2025-03-07 14:37:19,Corridoio,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-88.0
2025-03-07 14:37:19,Corridoio,Empty,d2:24:3e:14:c9:f5,TIM-34425965,-83.0
2025-03-07 14:37:19,Corridoio,Empty,c2:2d:06:4c:ac:71,TIM-45424657,-84.0
2025-03-07 14:37:19,Corridoio,Empty,2c:31:24:c0:bc:0e,ALMAWIFI,-93.0
2025-03-07 14:37:19,Corridoio,Empty,be:2d:06:4c:ac:70,TIM-45424657,-91.0
2025-03-07 14:37:19,Corridoio,Empty,dc:f7:19:09:08:00,eduroam,-84.0
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:56:76:f0,eduroam,-83.0
2025-03-07 14:37:19,Corridoio,Empty,cc:b1:82:20:7f:64,FASTWEB-SCA4Mw,-90.0
2025-03-07 14:37:19,Corridoio,Empty,0a:c0:8a:15:99:0c,RedMMo,-84.0
2025-03-07 14:37:19,Corridoio,Empty,60:1b:52:08:e5:56,Vodafone-E87431904,-91.0
2025-03-07 14:37:19,Corridoio,Empty,2c:31:24:c0:bc:0f,eduroam,-92.0
2025-03-07 14:37:19,Corridoio,Empty,00:81:c4:93:d3:4f,eduroam,-60.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:46:19:4f,eduroam,-95.0
2025-03-07 14:37:19,Corridoio,Empty,00:a6:ca:56:76:ff,eduroam,-76.0
2025-03-07 14:37:19,Corridoio,Empty,b0:aa:77:a8:42:5d,AULEUNIBO,-82.0
2025-03-07 14:37:19,Corridoio,Empty,b0:aa:77:a8:42:50,eduroam,-65.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:46:11:c0,eduroam,-90.0
2025-03-07 14:37:19,Corridoio,Empty,30:91:8f:53:53:2a,Telecom-57119018,-94.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:51:e3:00,eduroam,-86.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:51:e3:01,ALMAWIFI,-85.0
2025-03-07 14:37:19,Corridoio,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-94.0
2025-03-07 14:37:19,Corridoio,Empty,08:16:05:f4:2f:d8,Vodafone-C54882456,-88.0
2025-03-07 14:37:19,Corridoio,Empty,8c:1e:80:46:19:4e,ALMAWIFI,-92.0
2025-03-07 14:37:24,Corridoio,Empty,00:81:c4:93:d3:40,eduroam,-49.0
2025-03-07 14:37:24,Corridoio,Empty,00:81:c4:93:d3:41,ALMAWIFI,-49.0
2025-03-07 14:37:24,Corridoio,Empty,00:81:c4:93:d3:4e,ALMAWIFI,-64.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-76.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-84.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-86.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-78.0
2025-03-07 14:37:24,Corridoio,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-80.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:46:19:41,ALMAWIFI,-86.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-80.0
2025-03-07 14:37:24,Corridoio,Empty,84:d4:7e:36:4c:80,EmiliaRomagnaWiFi wifiprivacy.it,-89.0
2025-03-07 14:37:24,Corridoio,Empty,b0:aa:77:a8:42:51,ALMAWIFI,-67.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:10:c8:00,eduroam,-80.0
2025-03-07 14:37:24,Corridoio,Empty,b0:aa:77:a8:42:52,AULEUNIBO,-67.0
2025-03-07 14:37:24,Corridoio,Empty,60:b9:c0:9c:49:02,ALMAWIFI,-90.0
2025-03-07 14:37:24,Corridoio,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-83.0
2025-03-07 14:37:24,Corridoio,Empty,2c:31:24:c0:bc:01,ALMAWIFI,-83.0
2025-03-07 14:37:24,Corridoio,Empty,2c:31:24:c0:bc:00,eduroam,-83.0
2025-03-07 14:37:24,Corridoio,Empty,d8:ec:e5:e3:ef:09,Wind3 HUB-E3EF09,-91.0
2025-03-07 14:37:24,Corridoio,Empty,02:71:47:cf:a2:70,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-84.0
2025-03-07 14:37:24,Corridoio,Empty,38:91:b7:3d:b9:20,eduroam,-90.0
2025-03-07 14:37:24,Corridoio,Empty,5e:07:9c:0f:20:5f,OPPO A74 5G,-79.0
2025-03-07 14:37:24,Corridoio,Empty,a8:63:7d:3e:e8:88,D-Link-3EE887,-86.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:5f:8d:20,eduroam,-83.0
2025-03-07 14:37:24,Corridoio,Empty,20:b0:01:2f:4b:07,TIM-19876615,-90.0
2025-03-07 14:37:24,Corridoio,Empty,8a:83:73:2b:08:a8,Galaxy A33 5G FBBC,-83.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:46:19:40,eduroam,-86.0
2025-03-07 14:37:24,Corridoio,Empty,d2:24:3e:14:c9:f5,TIM-34425965,-87.0
2025-03-07 14:37:24,Corridoio,Empty,c2:2d:06:4c:ac:71,TIM-45424657,-81.0
2025-03-07 14:37:24,Corridoio,Empty,2c:31:24:c0:bc:0e,ALMAWIFI,-95.0
2025-03-07 14:37:24,Corridoio,Empty,be:2d:06:4c:ac:70,TIM-45424657,-87.0
2025-03-07 14:37:24,Corridoio,Empty,dc:f7:19:09:08:00,eduroam,-84.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:56:76:f0,eduroam,-75.0
2025-03-07 14:37:24,Corridoio,Empty,cc:b1:82:20:7f:64,FASTWEB-SCA4Mw,-90.0
2025-03-07 14:37:24,Corridoio,Empty,0a:c0:8a:15:99:0c,RedMMo,-87.0
2025-03-07 14:37:24,Corridoio,Empty,60:1b:52:08:e5:56,Vodafone-E87431904,-91.0
2025-03-07 14:37:24,Corridoio,Empty,2c:31:24:c0:bc:0f,eduroam,-95.0
2025-03-07 14:37:24,Corridoio,Empty,00:81:c4:93:d3:4f,eduroam,-64.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:46:19:4f,eduroam,-95.0
2025-03-07 14:37:24,Corridoio,Empty,00:a6:ca:56:76:ff,eduroam,-75.0
2025-03-07 14:37:24,Corridoio,Empty,b0:aa:77:a8:42:5d,AULEUNIBO,-82.0
2025-03-07 14:37:24,Corridoio,Empty,b0:aa:77:a8:42:50,eduroam,-67.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:46:11:c0,eduroam,-90.0
2025-03-07 14:37:24,Corridoio,Empty,30:91:8f:53:53:2a,Telecom-57119018,-94.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:51:e3:00,eduroam,-86.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:51:e3:01,ALMAWIFI,-85.0
2025-03-07 14:37:24,Corridoio,Empty,d8:ec:e5:da:5e:39,TSUNAMI 2G,-94.0
2025-03-07 14:37:24,Corridoio,Empty,08:16:05:f4:2f:d8,Vodafone-C54882456,-88.0
2025-03-07 14:37:24,Corridoio,Empty,8c:1e:80:46:19:4e,ALMAWIFI,-92.0
2025-03-07 14:37:24,Corridoio,Empty,84:d4:7e:36:4c:81,WISPER,-91.0
2025-03-07 14:37:24,Corridoio,Empty,84:d4:7e:36:4c:82,wifi.italia.it,-89.0
