Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-07 14:22:44,E2,Empty,00:a6:ca:5f:8d:20,eduroam,-82.0
2025-03-07 14:22:44,E2,Empty,78:81:02:25:77:ab,TIM-59388709,-87.0
2025-03-07 14:22:44,E2,Empty,a8:63:7d:3e:e8:88,D-Link-3EE887,-79.0
2025-03-07 14:22:44,E2,Empty,8c:1e:80:46:19:4f,eduroam,-93.0
2025-03-07 14:22:44,E2,Empty,8c:1e:80:46:19:4e,ALMAWIFI,-93.0
2025-03-07 14:22:44,E2,Empty,b0:aa:77:a8:42:5f,eduroam,-71.0
2025-03-07 14:22:44,E2,Empty,b0:aa:77:a8:42:5d,AULEUNIBO,-71.0
2025-03-07 14:22:44,E2,Empty,b0:aa:77:a8:42:5e,ALMAWIFI,-75.0
2025-03-07 14:22:44,E2,Empty,b0:aa:77:a8:42:50,eduroam,-66.0
2025-03-07 14:22:44,E2,Empty,42:ae:30:a2:1b:51,WINDTRE-A21B50,-88.0
2025-03-07 14:22:44,E2,Empty,dc:00:b0:b8:1b:60,iliadbox-60397B,-89.0
2025-03-07 14:22:44,E2,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-86.0
2025-03-07 14:22:44,E2,Empty,bc:15:ac:48:26:69,Vodafone-34634481,-88.0
2025-03-07 14:22:44,E2,Empty,2c:31:24:c0:bc:01,ALMAWIFI,-77.0
2025-03-07 14:22:44,E2,Empty,38:91:b7:3d:b9:20,eduroam,-84.0
2025-03-07 14:22:44,E2,Empty,80:16:05:d1:d5:58,Vodafone-C01940116,-92.0
2025-03-07 14:22:44,E2,Empty,14:33:75:d6:8c:01,enel-WiFi_75D68C01,-80.0
2025-03-07 14:22:44,E2,Empty,86:25:19:30:6e:79,DIRECT-euM2070 Series,-92.0
2025-03-07 14:22:44,E2,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-73.0
2025-03-07 14:22:44,E2,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-85.0
2025-03-07 14:22:44,E2,Empty,04:a1:51:c1:c8:56,BatWlan,-93.0
2025-03-07 14:22:44,E2,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-87.0
2025-03-07 14:22:44,E2,Empty,60:b9:c0:9c:49:00,EmiliaRomagnaWiFi wifiprivacy.it,-88.0
2025-03-07 14:22:44,E2,Empty,c2:6f:88:cd:75:71,TIM-64579434,-95.0
2025-03-07 14:22:44,E2,Empty,84:d1:5a:28:7d:bc,Modem 4G Wi-Fi_7DBC,-93.0
2025-03-07 14:22:44,E2,Empty,6c:06:d6:a5:32:1f,HONOR 20,-89.0
2025-03-07 14:22:44,E2,Empty,20:b0:01:e0:92:07,FASTWEB-E09207,-92.0
2025-03-07 14:22:44,E2,Empty,72:74:14:11:da:92,My VW 1845,-81.0
2025-03-07 14:22:44,E2,Empty,b8:11:4b:07:8f:00,eduroam,-86.0
2025-03-07 14:22:44,E2,Empty,00:4e:35:52:14:20,PES_Filopanti,-91.0
2025-03-07 14:22:44,E2,Empty,00:1e:42:3e:80:89,RUT955_2892,-77.0
2025-03-07 14:22:44,E2,Empty,00:a6:ca:10:c8:00,eduroam,-71.0
2025-03-07 14:22:44,E2,Empty,02:71:47:cf:a2:70,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-84.0
2025-03-07 14:22:44,E2,Empty,be:2d:06:4c:ac:70,TIM-45424657,-89.0
2025-03-07 14:22:48,E2,Empty,b0:aa:77:a8:42:52,AULEUNIBO,-68.0
2025-03-07 14:22:48,E2,Empty,b0:aa:77:a8:42:51,ALMAWIFI,-68.0
2025-03-07 14:22:48,E2,Empty,00:81:c4:93:d3:40,eduroam,-49.0
2025-03-07 14:22:48,E2,Empty,00:81:c4:93:d3:41,ALMAWIFI,-49.0
2025-03-07 14:22:48,E2,Empty,c2:2d:06:4c:ac:71,TIM-45424657,-82.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-93.0
2025-03-07 14:22:48,E2,Empty,00:81:c4:93:d3:4e,ALMAWIFI,-60.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-71.0
2025-03-07 14:22:48,E2,Empty,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-74.0
2025-03-07 14:22:48,E2,Empty,f4:ec:38:ca:e6:04,SSTI,-75.0
2025-03-07 14:22:48,E2,Empty,84:d4:7e:36:4c:80,EmiliaRomagnaWiFi wifiprivacy.it,-72.0
2025-03-07 14:22:48,E2,Empty,84:d4:7e:36:4c:81,WISPER,-72.0
2025-03-07 14:22:48,E2,Empty,84:d4:7e:36:4c:82,wifi.italia.it,-72.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:56:76:ff,eduroam,-70.0
2025-03-07 14:22:48,E2,Empty,d8:ec:e5:e3:ef:09,Wind3 HUB-E3EF09,-80.0
2025-03-07 14:22:48,E2,Empty,80:16:05:ec:07:98,Vodafone-C01830104,-88.0
2025-03-07 14:22:48,E2,Empty,50:d4:f7:cf:9d:a1,Vodafone-34651899_EXT,-90.0
2025-03-07 14:22:48,E2,Empty,08:16:05:f4:2f:d8,Vodafone-C54882456,-95.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:5f:8d:2f,eduroam,-94.0
2025-03-07 14:22:48,E2,Empty,00:81:c4:93:d3:4f,eduroam,-61.0
2025-03-07 14:22:48,E2,Empty,b8:11:4b:07:8f:0e,ALMAWIFI,-94.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-84.0
2025-03-07 14:22:48,E2,Empty,5e:07:9c:0f:20:5f,OPPO A74 5G,-82.0
2025-03-07 14:22:48,E2,Empty,30:91:8f:53:53:2a,Telecom-57119018,-83.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-70.0
2025-03-07 14:22:48,E2,Empty,8c:1e:80:46:19:40,eduroam,-75.0
2025-03-07 14:22:48,E2,Empty,8c:1e:80:46:19:41,ALMAWIFI,-75.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:5f:8d:20,eduroam,-82.0
2025-03-07 14:22:48,E2,Empty,78:81:02:25:77:ab,TIM-59388709,-87.0
2025-03-07 14:22:48,E2,Empty,a8:63:7d:3e:e8:88,D-Link-3EE887,-79.0
2025-03-07 14:22:48,E2,Empty,8c:1e:80:46:19:4f,eduroam,-91.0
2025-03-07 14:22:48,E2,Empty,8c:1e:80:46:19:4e,ALMAWIFI,-90.0
2025-03-07 14:22:48,E2,Empty,b0:aa:77:a8:42:5f,eduroam,-71.0
2025-03-07 14:22:48,E2,Empty,b0:aa:77:a8:42:5d,AULEUNIBO,-71.0
2025-03-07 14:22:48,E2,Empty,b0:aa:77:a8:42:5e,ALMAWIFI,-78.0
2025-03-07 14:22:48,E2,Empty,b0:aa:77:a8:42:50,eduroam,-67.0
2025-03-07 14:22:48,E2,Empty,42:ae:30:a2:1b:51,WINDTRE-A21B50,-88.0
2025-03-07 14:22:48,E2,Empty,dc:00:b0:b8:1b:60,iliadbox-60397B,-89.0
2025-03-07 14:22:48,E2,Empty,a6:b6:68:0b:7d:ea,TIM-57442435,-86.0
2025-03-07 14:22:48,E2,Empty,bc:15:ac:48:26:69,Vodafone-34634481,-88.0
2025-03-07 14:22:48,E2,Empty,80:16:05:d1:d5:58,Vodafone-C01940116,-92.0
2025-03-07 14:22:48,E2,Empty,14:33:75:d6:8c:01,enel-WiFi_75D68C01,-80.0
2025-03-07 14:22:48,E2,Empty,86:25:19:30:6e:79,DIRECT-euM2070 Series,-92.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-78.0
2025-03-07 14:22:48,E2,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-87.0
2025-03-07 14:22:48,E2,Empty,60:b9:c0:9c:49:00,EmiliaRomagnaWiFi wifiprivacy.it,-88.0
2025-03-07 14:22:48,E2,Empty,c2:6f:88:cd:75:71,TIM-64579434,-95.0
2025-03-07 14:22:48,E2,Empty,84:d1:5a:28:7d:bc,Modem 4G Wi-Fi_7DBC,-87.0
